Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC18032,JEWISH COMMUNITY CENTER OF STATEN ISLAND@ SMILES AROUND US,"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122,7845,2015-09-01,Permitted,2 YEARS - 5 YEARS,20,No,Private,1,0,0,1,3,0.333333,0.333333,428,Top 30%,304,Top 15%,40.54515809999999,-74.1427298
DC2353,JF KIDS PORT INFANT TODDLER PROGRAM,MARCTELL MANAGEMENT,BLDG #350 JFK AIRPORT,QUEENS,11430,718-553-5437,7191,2015-10-17,Permitted,0 YEARS - 2 YEARS,26,No,Private,1,0,1,0,5,0.2,0.4,271,Top 15%,318,Top 15%,40.6434612,-73.7822056
DC17623,JOAN ANN KENNEDY MEMORIAL PRE-SCHOOL (SETON FOUNDATION,"SETON FOUNDATION FOR LEARNING,INC.",850 HYLAN BOULEVARD,STATEN ISLAND,10305,718-876-0939,7920,2014-09-09,Permitted,2 YEARS - 5 YEARS,64,No,Private,1,1,0,0,4,0.25,0.75,334,Top 15%,476,Top 30%,40.599615,-74.07024899999999
DC24695,JOHN COKER DAY CARE CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",1375 BUSHWICK AVENUE,BROOKLYN,11207,718-452-1414,23678,2014-10-01,Permitted,2 YEARS - 5 YEARS,75,No,ACS Contracted Preschools,5,0,3,2,5,1.0,1.6,775,Average,767,Average,40.685454,-73.910461
DC334,JOHN F. KENNEDY EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",103-15 FARRAGUT ROAD,BROOKLYN,11236,718-272-8751,4064,2015-01-24,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,28,6,14,8,11,2.54545,4.90909,1738,Bottom 30%,1770,Bottom 30%,40.644465,-73.90732969999999
DC25669,JOHN ORAVECZ EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",176 JAVA STREET,BROOKLYN,11222,718-782-2727,50998,2015-08-23,Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,0,0,0,0,2,0.0,0.0,134,Top 5%,38,Top 5%,40.7315705,-73.95343729999999
DC2252,JOHNSON'S ACADEMY PRESCHOOL,"JOHNSON'S ACADEMY, LLC.",99-04 57 AVENUE,QUEENS,11368,718-592-7289,4546,2014-12-15,Permitted,2 YEARS - 5 YEARS,23,No,Private,9,2,7,0,6,1.5,3.33333,1193,Average,1394,Bottom 30%,40.738566,-73.85936989999999
DC20330,JOYFUL TOTS DAY CARE CENTER,JOYFUL TOTS DAYCARE CENTER INC.,403 NEW JERSEY AVENUE,BROOKLYN,11207,718-676-7867,11837,2016-02-02,Permitted,2 YEARS - 5 YEARS,36,No,Private,13,2,5,6,5,2.6,4.4,1748,Bottom 30%,1657,Bottom 30%,40.66942,-73.893922
DC25977,JOYFUL TOTS DAYCARE CENTER INC.,JOYFUL TOTS DAYCARE CENTER INC.,265 LOTT AVENUE,BROOKLYN,11212,718-342-4222,55857,2016-01-09,Permitted,0 YEARS - 2 YEARS,16,No,Private,2,0,1,1,2,1.0,1.5,776,Average,751,Average,40.658734,-73.903611
DC25976,JOYFUL TOTS DAYCARE CENTER INC.,JOYFUL TOTS DAYCARE CENTER INC,265 LOTT AVENUE,BROOKLYN,11212,718-342-4225,55858,2016-01-09,Permitted,2 YEARS - 5 YEARS,44,No,Private,0,0,0,0,2,0.0,0.0,142,Top 5%,44,Top 5%,40.658734,-73.903611
DC2282,JP MORGAN CHASE BACK-UP CC / BRIGHT HORIZONS,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",18 EAST 48 STREET,MANHATTAN,10017,212-644-3206,6867,2015-08-30,Permitted,0 YEARS - 2 YEARS,18,No,Private,0,0,0,0,4,0.0,0.0,143,Top 5%,46,Top 5%,40.756576,-73.977032
DC20818,JTG BILINGUAL CHILD DEVELOPMENT SERVICES,"JTG BILINGUAL CHILD DEVELOPMENT SERVICES, INC.",1440 86TH STREET,BROOKLYN,11228,718-331-0288,8321,2015-06-13,Permitted,2 YEARS - 5 YEARS,29,No,Private,8,1,5,2,3,2.66667,5.0,1788,Bottom 30%,1801,Bottom 30%,40.611933,-74.010903
DC3105,JUDI`S NURSERY,JUDI'S NURSERY,70-11 150 STREET,QUEENS,11367,718-520-1324,6958,2015-07-06,Permitted,2 YEARS - 5 YEARS,110,No,Private,4,0,4,0,6,0.666667,1.33333,606,Top 30%,663,Average,40.730196,-73.818253
DC23149,JUGUEMOS A CANTAR,"JUGUEMOS A CANTAR, LLC",71 LINCOLN PLACE,BROOKLYN,11217,917-453-1187,29717,2014-12-24,Permitted,2 YEARS - 5 YEARS,40,No,Private,13,0,8,5,5,2.6,4.2,1758,Bottom 30%,1615,Bottom 30%,40.677119,-73.977547
DC116,JUST 4  KIDS SOUNDVIEW CENTER,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",214 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7334,2015-08-27,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,15,2,5,8,7,2.14286,3.42857,1573,Bottom 30%,1416,Bottom 30%,40.8093249,-73.8553283
DC14179,JUST 4 KIDS KIDDIE KOLLEGE,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",781 CASTLE HILL AVENUE,BRONX,10473,347-493-0813,7748,2015-08-27,Permitted,2 YEARS - 5 YEARS,25,No,Private,10,2,5,3,4,2.5,4.75,1735,Bottom 30%,1743,Bottom 30%,40.82289,-73.849597
DC12263,JUST 4 KIDS SOUNDVIEW CENTER  I I,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",216 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7388,2015-04-27,Permitted,2 YEARS - 5 YEARS,22,No,Private,17,6,5,6,6,2.83333,5.66667,1829,Bottom 30%,1887,Bottom 15%,40.8107199,-73.8556754
DC23122,KA OF FLUSHING,KA  ON PARSONS INC.,33-25 PARSONS BLVD.,QUEENS,11354,718-888-9499,52560,2015-09-27,Permitted,2 YEARS - 5 YEARS,149,No,Private,0,0,0,0,2,0.0,0.0,190,Top 5%,51,Top 5%,40.7674329,-73.8240375
DC23123,KA OF FLUSHING,"KA ON PARSONS, INC.",33-25 PARSONS BLVD.,QUEENS,11354,718-888-9499,52658,2015-10-01,Permitted,0 YEARS - 2 YEARS,56,No,Private,0,0,0,0,2,0.0,0.0,212,Top 5%,61,Top 5%,40.7674329,-73.8240375
DC14266,KANE STREET KIDS,CONGREGATION BAITH ISRAEL ANSHEI EMES,236 KANE STREET,BROOKLYN,11231,718-875-1550,7598,2016-02-03,Permitted,2 YEARS - 5 YEARS,70,No,Private,1,0,1,0,4,0.25,0.5,339,Top 15%,381,Top 30%,40.68554,-73.9952259
DC1184,KAPLAN NURSERY SCHOOL AT SUTTON PLACE SYNAGOGUE,SUTTON PLACE SYNAGOGUE,225 EAST 51 STREET,MANHATTAN,10022,212-826-6204,7512,2014-11-03,Permitted,2 YEARS - 5 YEARS,65,No,Private,6,1,3,2,3,2.0,3.66667,1507,Bottom 30%,1477,Bottom 30%,40.7561186,-73.9691668
DC18739,KATHY'S DAY CARE,"A & A KATHY'S DAY CARE,INC.",94-25 57 AVENUE,QUEENS,11373,718-592-1515,7869,2016-08-16,Permitted,2 YEARS - 5 YEARS,36,No,Private,9,1,8,0,7,1.28571,2.71429,1065,Average,1211,Average,40.7362977,-73.8670884
DC23090,KAYKAR ALL ABOUT THE CHILDREN CENTER,KAYKAR CENTER CORPORATION,755 EASTERN PARKWAY,BROOKLYN,11213,347-817-9314,40197,2015-05-15,Permitted,2 YEARS - 5 YEARS,23,Yes,Private,6,2,3,1,4,1.5,3.25,1190,Average,1363,Bottom 30%,40.669939,-73.94331199999999
DC10529,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1028 EAST 179 STREET,BRONX,10460,718-842-0200,5354,2016-04-12,Permitted,2 YEARS - 5 YEARS,204,Yes,Private,16,2,9,5,7,2.28571,4.14286,1638,Bottom 30%,1604,Bottom 30%,40.8422697,-73.8802176
DC14648,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1071 B EAST TREMONT AVENUE,BRONX,10460,718-842-8942,7809,2015-10-11,Permitted,2 YEARS - 5 YEARS,73,No,Private,4,1,1,2,3,1.33333,2.33333,1120,Average,1094,Average,40.8399899,-73.8790997
DC1142,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,151 EAST 67 STREET,MANHATTAN,10065,212-988-9500,1545,2015-06-06,Permitted,2 YEARS - 5 YEARS,167,Yes,Private,8,1,3,4,2,4.0,6.5,2070,Bottom 15%,1979,Bottom 15%,40.7671858,-73.9640575
DC14408,KEREN OHR III NURSERY,KEREN OHR III NURSERY,170-16 73 AVENUE,QUEENS,11366,718-380-5611,7408,2015-08-17,Permitted,2 YEARS - 5 YEARS,55,No,Private,0,0,0,0,5,0.0,0.0,208,Top 5%,6,Top 5%,40.7285309,-73.798902
DC14481,KESHET LEARNING CENTER,CONGREGATION KESHET BEANAN,1612  QUENTIN ROAD,BROOKLYN,11229,718-376-6958,7664,2014-11-20,Permitted,2 YEARS - 5 YEARS,51,No,Private,6,0,3,3,5,1.2,1.8,998,Average,861,Average,40.608177,-73.95674
DC15609,KESHET LEARNING CENTER,CONGREGATION KESHET BEANAN,1612  QUENTIN ROAD,BROOKLYN,11229,718-376-6958,7665,2014-11-20,Permitted,0 YEARS - 2 YEARS,18,No,Private,8,0,2,6,5,1.6,2.0,1259,Average,901,Average,40.608177,-73.95674
DC19609,KHANH PHAN,FUNDAY DAY CARE CENTER,47-49 162ND STREET,QUEENS,11358,718-460-8552,8035,2015-06-30,Permitted,2 YEARS - 5 YEARS,33,No,Private,9,3,6,0,8,1.125,2.625,967,Average,1178,Average,40.7501769,-73.8053518
DC21460,KHWOA BHAO DAY SCHOOL,WAYKEEN CORP.,132-25 POPLE AVENUE,QUEENS,11355,718-353-3628,8290,2015-05-12,Permitted,2 YEARS - 5 YEARS,45,No,Private,5,0,5,0,5,1.0,2.0,781,Average,909,Average,40.753487,-73.831853
DC2051,"KHYLE BRE NAJ KIDDIE DAY CARE,INC.","KHYLE BRE NAJ KIDDIE DAY CARE, INC.",9718 FLATLANDS AVENUE,BROOKLYN,11236,718-345-3636,7514,2015-08-22,Permitted,2 YEARS - 5 YEARS,57,No,Private,17,3,12,2,9,1.88889,3.88889,1418,Bottom 30%,1545,Bottom 30%,40.643795,-73.89994999999999
DC3136,KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER.,KIDZ KRAZY INC,21-25 21 AVENUE,QUEENS,11105,718-545-5728,6853,2015-04-01,Permitted,2 YEARS - 5 YEARS,20,No,Private,6,0,6,0,7,0.857143,1.71429,767,Average,814,Average,40.7820514,-73.91379839999999
DC21326,KID KRAZY INC.,KID KRAZY INC.PRESCHOOL,25-19 27 STREET,QUEENS,11102,718-545-5728,10198,2015-12-20,Permitted,2 YEARS - 5 YEARS,51,No,Private,1,1,0,0,5,0.2,0.6,274,Top 15%,424,Top 30%,40.771363,-73.920327
DC21327,KID KRAZY INC. PRESCHOOL,KID KRAZY INC.,25-19 27 STREET,QUEENS,11102,718-204-0646,10417,2015-12-29,Permitted,0 YEARS - 2 YEARS,10,No,Private,0,0,0,0,5,0.0,0.0,141,Top 5%,11,Top 5%,40.771363,-73.920327
DC2276,"KID KRAZY, INC.",KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35 21 AVENUE,QUEENS,11105,718-545-5728,7278,2016-07-21,Permitted,2 YEARS - 5 YEARS,25,No,Private,2,0,2,0,9,0.222222,0.444444,325,Top 15%,362,Top 30%,40.78187,-73.913539
DC14928,KID SMART- A LEARNING CHILD CARE CENTER,"THE KIDSMART GROUP, LLC",360  SEAVIEW AVENUE,STATEN ISLAND,10305,718-226-8308,7632,2014-09-01,Permitted,2 YEARS - 5 YEARS,32,No,Private,6,3,1,2,7,0.857143,1.85714,766,Average,869,Average,40.585369,-74.090341
DC17506,KIDDIE ACADEMY OF LITTLE NECK,"KIDSZONE, INC.",252-20 NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,2014-12-01,Permitted,2 YEARS - 5 YEARS,128,No,Private,0,0,0,0,6,0.0,0.0,36,Top 5%,17,Top 5%,40.770156,-73.7358211
DC2399,KIDDIE ACADEMY OF STATEN ISLAND,FUTURE STAR KIDZ INC.,1110 SOUTH AVENUE,STATEN ISLAND,10314,718-698-6905,7280,2014-11-21,Permitted,2 YEARS - 5 YEARS,131,Yes,Private,13,2,5,6,5,2.6,4.4,1752,Bottom 30%,1658,Bottom 30%,40.6145947,-74.17668979999999
DC3143,KIDDIE ACADEMY OF STATEN ISLAND INFANT/TODDLER,"FUTURE STAR KIDZ, INC.",1110 SOUTH AVENUE,STATEN ISLAND,10314,718-698-6905,7668,2015-11-21,Permitted,0 YEARS - 2 YEARS,54,Yes,Private,3,0,3,0,4,0.75,1.5,698,Average,738,Average,40.6145947,-74.17668979999999
DC19324,KIDDIE ACADEMY P/S,KIDDIE ACADEMY OF WHITESTONE,7-05 152ND STREET,QUEENS,11357,718-747-5555,8085,2015-10-17,Permitted,2 YEARS - 5 YEARS,146,No,Private,1,1,0,0,6,0.166667,0.5,251,Top 15%,397,Top 30%,40.7953009,-73.81022589999999
DC14400,KIDDIE CASTLE DAY CARE,KIDDIE CASTLE OF MIDWOOD,1101 EAST 35 STREET,BROOKLYN,11210,718-677-0303,7339,2015-07-25,Permitted,2 YEARS - 5 YEARS,30,No,Private,8,4,3,1,7,1.14286,2.71429,972,Average,1208,Average,40.627959,-73.942019
DC25058,KIDDIE CASTLE DAY CARE #2 THE NURSERY,DOMINIQUE ROLAND AND SERGE ROLAND,1729 FLATBUSH AVENUE,BROOKLYN,11210,718-677-0303,52601,2015-09-27,Permitted,0 YEARS - 2 YEARS,22,No,Private,0,0,0,0,2,0.0,0.0,42,Top 5%,20,Top 5%,40.627863,-73.94201
DC18583,KIDDIE KORNER (INFANT/TODDLERS),CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,166 MONTAGUE STREET,BROOKLYN,11201,718-834-6093,8076,2015-09-14,Permitted,0 YEARS - 2 YEARS,37,No,Private,2,0,1,1,4,0.5,0.75,490,Top 30%,478,Top 30%,40.694109,-73.99268800000002
DC20236,KIDDIE KORNER (PRE-SCHOOL),CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,166 MONTAGUE STREET,BROOKLYN,11201,718-834-6093,8079,2015-09-18,Permitted,2 YEARS - 5 YEARS,14,No,Private,2,0,1,1,4,0.5,0.75,510,Top 30%,484,Top 30%,40.694109,-73.99268800000002
DC22387,KIDDIE KORNER PRE-SCHOOL #2,CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,117 REMSEN STREET,BROOKLYN,11201,718-510-6903,12077,2016-02-07,Permitted,2 YEARS - 5 YEARS,12,No,Private,5,1,2,2,5,1.0,1.8,788,Average,854,Average,40.69408850000001,-73.9935714
DC22388,KIDDIE KORNER PRESCHOOL (INFANT/TODDLER),CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,117 REMSEN STREET,BROOKLYN,11201,718-510-6903,11957,2016-02-03,Permitted,0 YEARS - 2 YEARS,18,No,Private,5,1,1,3,4,1.25,2.0,1025,Average,876,Average,40.69408850000001,-73.9935714
DC16691,KIDDIES LEARNING CENTER,"KIDDIES LEARNING CENTER, INC.",263 TROY AVENUE,BROOKLYN,11213,718-221-2530,8118,2016-01-20,Permitted,2 YEARS - 5 YEARS,40,No,Private,30,7,20,3,7,4.28571,9.14286,2094,Bottom 5%,2129,Bottom 5%,40.670214,-73.936274
DC19621,"KIDDIES SAFE HAVEN, INC.","KIDDIES SAFE HAVEN, INC.",1891 MCGRAW AVENUE,BRONX,10462,718-409-2706,8273,2015-05-16,Permitted,2 YEARS - 5 YEARS,58,No,Private,6,0,3,3,3,2.0,3.0,1519,Bottom 30%,1332,Average,40.83462859999999,-73.860917
DC20271,KIDDY ACADEMY OF WHITESTONE INFANT/TDDLER PROGRAM,KIDDIE ACADEMY OF WHITESTONE INFANT TODDLER,7-05 152ND STREET,QUEENS,11357,718-747-5555,8086,2015-10-17,Permitted,0 YEARS - 2 YEARS,46,No,Private,2,1,1,0,7,0.285714,0.714286,371,Top 30%,470,Top 30%,40.7953009,-73.81022589999999
DC21366,KIDDY KORNER,IT'S A HAPPY DAY AT KIDDY CORNER,243-37 MERRICK BLVD,QUEENS,11422,718-712-6768,8333,2014-10-04,Permitted,2 YEARS - 5 YEARS,30,No,Private,5,2,3,0,7,0.714286,1.71429,655,Average,813,Average,40.6744023,-73.7290005
DC21367,KIDDY KORNER INFANT/TODDLER,"IT'S A HAPPY DAY AT KIDDY CORNER, INC.",243-35 MERRICK BLVD,QUEENS,11422,718-712-6768,8336,2014-10-04,Permitted,0 YEARS - 2 YEARS,26,No,Private,5,1,3,1,7,0.714286,1.42857,654,Average,720,Average,40.674427,-73.729111
DC14106,KIDERIFIC NURSERY SCHOOL,"KIDERIFIC NURSERY SCHOOL,INC.",1621 PILGRIM AVENUE,BRONX,10461,718-518-7170,5011,2015-07-02,Permitted,2 YEARS - 5 YEARS,26,No,Private,9,0,2,7,4,2.25,2.75,1619,Bottom 30%,1224,Average,40.844062,-73.83424699999999
DC25426,KIDS ADVOCATE DAY CARE CENTER,KIDS ADVOCATE DAY CARE CENTER,61-54 162ND STREET,QUEENS,11365,347-858-5049,63897,2016-05-09,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.7342435,-73.8068807
DC12280,KIDS CHOICE PRESCHOOL,BD KIDS CHOICE DAY CARE INC.,106-54 GUY BREWER BOULEVARD,QUEENS,11433,718-297-6707,7367,2015-03-04,Permitted,2 YEARS - 5 YEARS,22,No,Private,10,3,6,1,6,1.66667,3.66667,1305,Average,1484,Bottom 30%,40.6983646,-73.79257969999999
DC1168,KIDS CIRCLE DAY CARE,KIDS CIRCLE DAY CARE INC,164-04 GOETHALS AVENUE,QUEENS,11432,718-380-1280,6955,2015-12-28,Permitted,2 YEARS - 5 YEARS,40,No,Private,2,1,1,0,5,0.4,1.0,476,Top 30%,575,Top 30%,40.7193417,-73.8035847
DC14602,KIDS OF THE FUTURE DAY CARE CENTER,KIDS OF THE FUTURE DAY CARE CENTER CORP,330  TROY AVENUE,BROOKLYN,11213,718-484-0780,7887,2016-06-16,Permitted,2 YEARS - 5 YEARS,23,No,Private,9,5,3,1,8,1.125,2.75,969,Average,1220,Average,40.667569,-73.937077
DC320,KIDS ON FIFTH,"KIDS ON FIFTH, INC.",323 5 AVENUE,BROOKLYN,11215,718-768-3122,6176,2015-03-29,Permitted,2 YEARS - 5 YEARS,25,No,Private,15,1,7,7,5,3.0,4.8,1853,Bottom 30%,1758,Bottom 30%,40.672495,-73.98322999999999
DC2923,KIDS PALACE CORPORATION,KIDS PALACE CORPORATION,84-75 DANIELS STREET,QUEENS,11435,718-658-7818,6710,2015-10-03,Permitted,2 YEARS - 5 YEARS,24,No,Private,3,1,2,0,5,0.6,1.4,572,Top 30%,715,Average,40.7116222,-73.8143144
DC21234,"KIDS TIME DC,INC","ABC THERAPIES ,SLP,OT,PT,PSYCHOLOGY & CHIROPRACTIC, PLLC/KIDS TIME DAY CARE, INC.",42-75 65 PLACE,QUEENS,11377,718-429-2000,10457,2015-12-22,Permitted,2 YEARS - 5 YEARS,71,No,Private,5,1,1,3,7,0.714286,1.14286,657,Average,604,Top 30%,40.742124,-73.9003225
DC15225,KIDSMART A LEARNING CHILD CARE CENTER,THE KIDSMART GROUP LLC,360  SEAVIEW AVENUE,STATEN ISLAND,10305,718-226-8308,7631,2015-09-01,Permitted,0 YEARS - 2 YEARS,27,No,Private,6,3,0,3,6,1.0,2.0,874,Average,903,Average,40.585369,-74.090341
DC18116,KIDSPIRATION DAY CARE,"ANDREW P.CORNICK, SR.",3501-3503 QUENTIN ROAD,BROOKLYN,11234,347-587-7920,7889,2014-06-30,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,10,1,4,5,5,2.0,3.2,1536,Bottom 30%,1357,Bottom 30%,40.614474,-73.93750399999999
DC308,KIDZ KORNER DAY CARE,KIDZ KORNER DAY CARE,2422 RALPH AVENUE,BROOKLYN,11234,718-676-5200,7311,2014-09-30,Permitted,2 YEARS - 5 YEARS,25,No,Private,16,4,4,8,6,2.66667,4.66667,1768,Bottom 30%,1727,Bottom 30%,40.618967,-73.917553
DC21934,"KIDZ VILLAGE, LLC","KIDZ VILLAGE,LLC",82-02 GRAND AVENUE,QUEENS,11373,718-639-5439,19318,2016-07-23,Permitted,2 YEARS - 5 YEARS,58,No,Private,6,2,1,3,5,1.2,2.2,1012,Average,1004,Average,40.7324408,-73.8844737
DC22429,KIDZ WORLD EARLY CHILDHOOD CTR (I/T),"KIDZ WORLD EARLY CHILDHOOD CENTER,INC.",217-21 MERRICK BLVD.,QUEENS,11413,646-670-7582,21237,2016-08-22,Permitted,0 YEARS - 2 YEARS,25,Yes,Private,0,0,0,0,5,0.0,0.0,9,Top 5%,27,Top 5%,40.67981839999999,-73.751558
DC22401,KIDZ WORLD EARLY CHILDHOOD CTR (PRE/SCH),"KIDZ WORLD EARLY CHILDHOOD CTR,INC",217-21 MERRICK BLVD.,QUEENS,11413,646-670-7582,21317,2016-08-22,Permitted,2 YEARS - 5 YEARS,79,Yes,Private,0,0,0,0,7,0.0,0.0,10,Top 5%,102,Top 5%,40.67981839999999,-73.751558
DC11749,"KIMRICK DAYCARE & LEARNING CENTER, LLC","KIMRICK DAYCARE & LEARNING CENTER, LLC",1509 NOSTRAND AVENUE,BROOKLYN,11226,646-393-9181,7722,2015-02-26,Permitted,2 YEARS - 5 YEARS,22,No,Private,12,1,2,9,5,2.4,3.2,1688,Bottom 30%,1355,Bottom 30%,40.649329,-73.949086
DC229,KIND START PRE-SCHOOL,LISA ASSENNATA,7702 NEW UTRECHT AVENUE,BROOKLYN,11214,718-621-5382,6802,2016-07-20,Permitted,2 YEARS - 5 YEARS,30,No,Private,8,0,0,8,3,2.66667,2.66667,1785,Bottom 30%,1188,Average,40.6141791,-74.00063670000002
DC25982,KINDERLAND DAY CARE / PRESCHOOL,KINDERLAND DAY CARE INC.,1637 45TH STREET,BROOKLYN,11204,718-871-7432,53178,2015-10-17,Permitted,2 YEARS - 5 YEARS,38,No,Private,4,0,1,3,2,2.0,2.5,1543,Bottom 30%,1162,Average,40.632828,-73.9819799
DC22952,"KINDERLAND DAY CARE, INC.","KINDERLAND DAY CARE, INC.",1637 45TH STREET,BROOKLYN,11204,718-871-7432,53177,2015-10-17,Permitted,0 YEARS - 2 YEARS,29,No,Private,5,1,3,1,2,2.5,5.0,1704,Bottom 30%,1785,Bottom 30%,40.632828,-73.9819799
DC11765,KING O'S DAY CARE CENTER,"KINGO'S DAY CARE,INC.",1097 CLARKSON AVENUE,BROOKLYN,11212,718-346-2067,7821,2015-10-12,Permitted,2 YEARS - 5 YEARS,32,No,Private,18,1,10,7,6,3.0,5.0,1854,Bottom 30%,1792,Bottom 30%,40.6600624,-73.9220046
DC25239,KINGS BAY YM-YWHA,KINGS BAY YM-YWHA INC.,14 HOPE STREET,BROOKLYN,11211,718-407-6388,52499,2015-09-26,Permitted,2 YEARS - 5 YEARS,59,No,Private,0,0,0,0,3,0.0,0.0,18,Top 5%,103,Top 5%,40.713481,-73.9573319
DC2684,KINGS BAY YM-YWHA NURSERY SCHOOL,KINGS BAY YM-YWHA INC.,3495 NOSTRAND AVENUE,BROOKLYN,11229,718-648-7703,4518,2015-11-21,Permitted,2 YEARS - 5 YEARS,47,No,Private,9,1,6,2,4,2.25,4.25,1628,Bottom 30%,1630,Bottom 30%,40.5990725,-73.9416099
DC22936,KINGS HIGHWAY PREPARATORY SCHOOL,VALERIE MCDONALD,9218 KINGS HIGHWAY,BROOKLYN,11212,718-498-3690,17297,2016-05-29,Permitted,2 YEARS - 5 YEARS,21,No,Private,5,1,2,2,4,1.25,2.25,1028,Average,1033,Average,40.656486,-73.920863
DC11780,"KINGS WAY EARLY CHILDHOOD CENTER,INC.","KINGS WAY EARLY CHILDHOOD CENTER,INC.",1742 EAST 18 STREET,BROOKLYN,11229,718-336-1599,7545,2015-11-28,Permitted,2 YEARS - 5 YEARS,55,No,Private,8,2,2,4,5,1.6,2.8,1276,Average,1238,Average,40.607531,-73.95541899999999
DC1983,"KINGSBRIDGE HEIGHTS  COMMUNITY CENTER, INC.","KINGSBRIDGE HEIGHTS COMMUNITY CENTER, INC.",3101 KINGSBRIDGE TERRACE,BRONX,10463,718-884-0700,4727,2015-08-16,Permitted,2 YEARS - 5 YEARS,62,No,ACS Contracted Preschools,4,1,1,2,4,1.0,1.75,824,Average,836,Average,40.877579,-73.90071499999999
DC22832,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,"KINGSBRIDGE HEIGHTS COMMUNITY CENTER, INC.",295 WEST 231ST STREET,BRONX,10463,718-690-9466,51679,2015-09-06,Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools,5,2,2,1,2,2.5,5.5,1705,Bottom 30%,1870,Bottom 15%,40.880947,-73.9079129
DC23130,KINGSBRIDGE MONTESSORI SCHOOL XI,"JASMINE EDUCATIONAL ENTERPRISE, INC.",2500 JEROME AVENUE,BRONX,10468,718-561-8111,56457,2016-01-31,Permitted,2 YEARS - 5 YEARS,39,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.864002,-73.899545
DC401,KINGSTON KIDS LITTLE CASTLE,SILVIO REYES,70  KINGSTON AVENUE,BROOKLYN,11213,718-363-9792,8018,2015-06-15,Permitted,2 YEARS - 5 YEARS,20,No,Private,52,4,41,7,16,3.25,6.3125,1934,Bottom 15%,1958,Bottom 15%,40.677447,-73.94165600000001
DC22602,KISSENA CHERRY DAY CARE,KISSENA CHERRY DAY CARE INC.,140-26 CHERRY AVE.,QUEENS,11355,718-886-2889,29078,2014-12-12,Permitted,0 YEARS - 2 YEARS,11,No,Private,0,0,0,0,5,0.0,0.0,95,Top 5%,110,Top 5%,40.7543848,-73.82199659999999
DC20798,KISSENA CHERRY DAYCARE,KISSENA CHERRY DAY CARE INC,140-26 CHERRY AVE.,QUEENS,11355,718-886-2889,8128,2016-04-13,Permitted,2 YEARS - 5 YEARS,99,No,Private,0,0,0,0,7,0.0,0.0,64,Top 5%,113,Top 5%,40.7543848,-73.82199659999999
DC21856,KNUGENX LEARNING CENTER-PRESCHOOL,KNUGENX LEARNING CENTER,90 BOWERY,MANHATTAN,10013,212-966-1431,15617,2014-04-30,Expired-InRenewal,2 YEARS - 5 YEARS,27,No,Private,7,0,6,1,3,2.33333,4.33333,1659,Bottom 30%,1652,Bottom 30%,40.71751099999999,-73.995666
DC16938,KON GEN INTERNATIONAL PRESCHOOL,KON GEN CORPORATION,196-25 42ND AVENUE,QUEENS,11358,718-281-2338,69238,2016-07-09,Permitted,2 YEARS - 5 YEARS,68,No,Corporate,0,0,0,0,0,,,,No Data,,No Data,40.75922600000001,-73.784722
