Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC24638,10/31/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC24638,10/31/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC24638,10/31/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC22712,03/12/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC22712,03/12/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC22712,03/12/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC22712,03/12/2014,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC25653,05/01/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC25653,05/01/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC25653,05/01/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC11386,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC23017,02/04/2014,Child care service operating without a permit; Permit expired.,PUBLIC HEALTH HAZARD,47.03 (a)*,CORRECTED
DC922,01/30/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC922,01/30/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC1796,03/25/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC1796,03/25/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC2045,05/24/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC22109,03/04/2014,Permittee/applicant submitted incomplete written safety plan.,CRITICAL,47.11 (b),CORRECTED
DC22180,03/14/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC19468,03/14/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC19468,03/14/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC19468,03/14/2014,"At time of inspection children's medical files were not provided, were incomplete or were not maintained.",GENERAL,47.25 (d),CORRECTED
DC20961,01/30/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),CORRECTED
DC20961,01/30/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC20961,01/30/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC20961,01/30/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC20961,01/30/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC12228,04/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1010,04/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1167,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21141,02/19/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC21141,02/19/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC21141,02/19/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC25556,03/14/2014,Permittee/applicant submitted incomplete written safety plan.,CRITICAL,47.11 (b),CORRECTED
DC25556,03/14/2014,Child care service observed at time of inspection to be providing care for infants under 12 months of age in groups mixed with older children.,CRITICAL,47.23 (g),CORRECTED
DC25556,03/14/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC25556,03/14/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC25556,03/14/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC25556,03/14/2014,At time of inspection heating apparatus was observed being used without appropriate guards. Restricted space heater observed being used.,PUBLIC HEALTH HAZARD,47.59 (e)+*,CORRECTED
DC25556,03/14/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC25557,03/14/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC25557,03/14/2014,At time of inspection lavatory facilities were observed to be inconveniently located in respect to the location of the children.,CRITICAL,47.43 (c)+,CORRECTED
DC25557,03/14/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC25557,03/14/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC25557,03/14/2014,At time of inspection heating apparatus was observed being used without appropriate guards. Restricted space heater observed being used.,PUBLIC HEALTH HAZARD,47.59 (e)+*,CORRECTED
DC25557,03/14/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC17965,11/21/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC17965,11/21/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC17965,11/21/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC3028,01/09/2014,Adulterated food observed being served. Food contact surfaces observed not manufactured as required. Food is not protected from cross contamination at time of inspection.,PUBLIC HEALTH HAZARD,81.07 (a)*,CORRECTED
DC3028,01/09/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC21405,05/13/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC21405,05/13/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC21405,05/13/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),
DC21405,05/13/2014,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61 (e),
